Inventory Date,ItemCode,Branch,Demand
1/7/2018,124,Fontana,286
1/7/2018,88,Atlanta F&S,37
1/7/2018,66,Toronto F&S,160
1/7/2018,124,Sacramento Main,532
1/7/2018,124,Seattle F&S,25
1/7/2018,124,Toronto F&S,71
1/7/2018,124,Vancouver F&S,315
1/7/2018,96,Fontana,48
1/7/2018,15,Sacramento Main,44
1/7/2018,125,Seattle F&S,118
1/7/2018,58,Sacramento Main,2
1/7/2018,56,Tampa F&S,16
1/7/2018,96,Fontana,48
1/7/2018,126,Fontana,281
1/7/2018,126,Great Lakes CC,57
1/7/2018,126,Montreal F&S,319
1/7/2018,126,Sacramento Main,216
1/7/2018,126,Seattle F&S,1134
1/7/2018,39,Vancouver F&S,8
1/7/2018,126,Toronto F&S,200
1/7/2018,126,Vancouver F&S,840
1/7/2018,127,Fontana,154
1/7/2018,15,Sacramento Main,44
1/7/2018,39,Vancouver F&S,8
1/7/2018,127,Seattle F&S,404
1/7/2018,127,Vancouver F&S,277
1/7/2018,96,Fontana,48
1/7/2018,128,Fontana,503
1/7/2018,128,Great Lakes CC,68
1/7/2018,128,Montreal F&S,168
1/7/2018,128,Sacramento Main,230
1/7/2018,128,Seattle F&S,779
1/7/2018,88,Seattle F&S,52
1/7/2018,128,Toronto F&S,235
1/7/2018,128,Vancouver F&S,193
1/7/2018,129,Baltimore F&S,145
1/7/2018,63,Sacramento Main,12
1/7/2018,129,Toronto F&S,40
1/7/2018,130,Edmonton F&S,70
1/7/2018,130,Fontana,3281
1/7/2018,123,Sacramento Main,135
1/7/2018,126,Fontana,281
1/7/2018,130,Montreal F&S,2501
1/7/2018,130,Sacramento Main,1049
1/7/2018,130,Seattle F&S,3671
1/7/2018,109,Houston F&S,120
1/7/2018,130,Toronto F&S,4921
1/7/2018,130,Vancouver F&S,823
1/7/2018,131,Fontana,114
1/7/2018,55,Fontana,4
1/7/2018,119,Linden,49
1/7/2018,131,Montreal F&S,314
1/7/2018,131,Sacramento Main,103
1/7/2018,131,Seattle F&S,440
1/7/2018,131,Toronto F&S,2597
1/7/2018,131,Vancouver F&S,443
1/7/2018,136,Fontana,674
1/7/2018,69,Montreal F&S,104
1/7/2018,96,Toronto F&S,76
1/7/2018,136,Seattle F&S,583
1/7/2018,94,Seattle F&S,24
1/7/2018,136,Toronto F&S,1195
1/7/2018,136,Vancouver F&S,51
1/7/2018,124,Seattle F&S,25
1/7/2018,57,Seattle F&S,28
1/7/2018,56,Tampa F&S,16
1/7/2018,137,Sacramento Main,13
1/7/2018,137,Tampa F&S,226
1/7/2018,124,Vancouver F&S,315
1/7/2018,88,Fontana,45
1/7/2018,109,Great Lakes CC,50
1/7/2018,139,Toronto F&S,132
1/7/2018,55,Fontana,4
1/7/2018,140,Fontana,30
1/7/2018,58,Sacramento Main,2
1/7/2018,39,Vancouver F&S,8
1/7/2018,71,Great Lakes CC,60
1/7/2018,124,Seattle F&S,25
1/7/2018,140,Toronto F&S,96
1/7/2018,39,Vancouver F&S,8
1/7/2018,56,Tampa F&S,16
1/7/2018,58,Sacramento Main,2
1/7/2018,63,Sacramento Main,12
1/7/2018,141,Seattle F&S,21
1/7/2018,69,Sacramento Main,27
1/7/2018,56,Tampa F&S,16
1/7/2018,55,Sacramento Main,1
1/7/2018,39,Vancouver F&S,8
1/7/2018,144,Fontana,331
1/7/2018,144,Great Lakes CC,34
1/7/2018,144,Montreal F&S,61
1/7/2018,68,Houston F&S,82
1/7/2018,144,Seattle F&S,217
1/7/2018,144,Toronto F&S,639
1/7/2018,144,Vancouver F&S,75
1/7/2018,55,Seattle F&S,15
1/7/2018,146,Montreal F&S,116
1/7/2018,151,Toronto F&S,126
1/7/2018,39,Vancouver F&S,8
1/7/2018,128,Great Lakes CC,68
1/7/2018,62,Great Lakes CC,236
1/7/2018,156,Vancouver F&S,113
1/7/2018,85,Sacramento Main,7
1/7/2018,140,Fontana,30
1/7/2018,56,Tampa F&S,16
1/7/2018,119,Linden,49
1/7/2018,57,Seattle F&S,28
1/7/2018,146,Montreal F&S,116
1/7/2018,163,Montreal F&S,18
1/7/2018,163,Toronto F&S,973
1/7/2018,96,Fontana,48
1/7/2018,164,Montreal F&S,198
1/7/2018,71,Houston F&S,231
1/7/2018,164,Toronto F&S,115
1/7/2018,164,Vancouver F&S,588
1/7/2018,166,Montreal F&S,56
1/7/2018,39,Vancouver F&S,8
1/7/2018,124,Seattle F&S,25
1/7/2018,129,Toronto F&S,40
1/7/2018,66,Sacramento Main,22
1/7/2018,56,Tampa F&S,16
1/7/2018,169,Fontana,89
1/7/2018,169,Montreal F&S,626
1/7/2018,169,Seattle F&S,88
1/7/2018,169,Toronto F&S,78
1/7/2018,71,Great Lakes CC,60
1/7/2018,112,Vancouver F&S,306
1/7/2018,172,Toronto F&S,33
1/7/2018,57,Seattle F&S,28
1/7/2018,57,Sacramento Main,5
1/7/2018,85,Sacramento Main,7
1/7/2018,128,Great Lakes CC,68
1/7/2018,189,Baltimore F&S,190
1/7/2018,189,Fontana,1203
1/7/2018,189,Great Lakes CC,294
1/7/2018,55,Sacramento Main,1
1/7/2018,189,Sacramento Main,20
1/7/2018,189,Seattle F&S,763
1/7/2018,189,Tampa F&S,565
1/7/2018,96,Fontana,48
1/7/2018,56,Fontana,6
1/7/2018,85,Sacramento Main,7
1/7/2018,63,Sacramento Main,12
1/7/2018,190,Fontana,1006
1/7/2018,190,Great Lakes CC,271
1/7/2018,140,Fontana,30
1/7/2018,57,Sacramento Main,5
1/7/2018,17,Vancouver F&S,17
1/7/2018,190,Seattle F&S,641
1/7/2018,190,Tampa F&S,672
1/7/2018,69,Fontana,152
1/7/2018,57,Atlanta F&S,81
1/7/2018,191,Fontana,464
1/7/2018,119,Linden,49
1/7/2018,85,Sacramento Main,7
1/7/2018,57,Tampa F&S,41
1/7/2018,136,Fontana,674
1/7/2018,191,Tampa F&S,574
1/7/2018,191,Toronto F&S,189
1/7/2018,55,Atlanta F&S,3
1/7/2018,192,Fontana,293
1/7/2018,63,Sacramento Main,12
1/7/2018,39,Vancouver F&S,8
1/7/2018,192,Seattle F&S,330
1/7/2018,192,Tampa F&S,275
1/7/2018,192,Toronto F&S,72
1/7/2018,58,Sacramento Main,2
1/7/2018,193,Fontana,139
1/7/2018,39,Vancouver F&S,8
1/7/2018,108,Montreal F&S,14
1/7/2018,56,Fontana,6
1/7/2018,63,Sacramento Main,12
1/7/2018,194,Fontana,58
1/7/2018,17,Vancouver F&S,17
1/7/2018,55,Seattle F&S,15
1/7/2018,17,Vancouver F&S,17
1/7/2018,129,Toronto F&S,40
1/7/2018,71,Fontana,441
1/7/2018,57,Fontana,11
1/7/2018,195,Sacramento Main,182
1/7/2018,195,Seattle F&S,478
1/7/2018,67,Toronto F&S,345
1/7/2018,195,Toronto F&S,162
1/7/2018,189,Sacramento Main,20
1/7/2018,55,Atlanta F&S,3
1/7/2018,201,Fontana,908
1/7/2018,55,Atlanta F&S,3
1/7/2018,17,Vancouver F&S,17
1/7/2018,55,Sacramento Main,1
1/7/2018,58,Tampa F&S,29
1/7/2018,201,Seattle F&S,513
1/7/2018,201,Tampa F&S,407
1/7/2018,201,Toronto F&S,106
1/7/2018,57,Sacramento Main,5
1/7/2018,115,Vancouver F&S,323
1/7/2018,56,Seattle F&S,19
1/7/2018,203,Seattle F&S,83
1/7/2018,203,Tampa F&S,73
1/7/2018,189,Sacramento Main,20
1/7/2018,127,Fontana,154
1/7/2018,59,Tampa F&S,35
1/7/2018,55,Sacramento Main,1
1/7/2018,204,Seattle F&S,69
1/7/2018,62,Sacramento Main,38
1/7/2018,63,Sacramento Main,12
1/7/2018,205,Fontana,622
1/7/2018,56,Fontana,6
1/7/2018,195,Toronto F&S,162
1/7/2018,55,Seattle F&S,15
1/7/2018,39,Vancouver F&S,8
1/7/2018,63,Sacramento Main,12
1/7/2018,207,Atlanta F&S,291
1/7/2018,207,Fontana,907
