Branch,ItemCode,Week 1,Week 2,Week 3,Week 4,Monthly Demand
Houston F&S,1013400,4550.0,4550.0,4550.0,4550.0,0.0
Houston F&S,1014200,5198.0,5198.0,5198.0,5198.0,0.0
Houston F&S,1014300,3316.0,3316.0,3316.0,3316.0,0.0
Houston F&S,1014600,2594.0,2594.0,2594.0,2564.0,-30.0
Edmonton F&S,10177,41.0,30.0,30.0,0.0,-41.0
Sacramento Main,10185,1.0,1.0,1.0,1.0,0.0
Seattle F&S,10185,15.0,15.0,15.0,15.0,0.0
Seattle F&S,10186,38.0,38.0,38.0,38.0,0.0
Sacramento Main,10187,138.0,138.0,138.0,138.0,0.0
Seattle F&S,10187,118.0,118.0,118.0,118.0,0.0
Sacramento Main,10188,10.0,10.0,10.0,10.0,0.0
Sacramento Main,10189,57.0,57.0,57.0,57.0,0.0
Seattle F&S,10189,112.0,112.0,81.0,81.0,-31.0
Sacramento Main,10190,128.0,128.0,128.0,128.0,0.0
Seattle F&S,10190,88.0,88.0,84.0,84.0,-4.0
Seattle F&S,10212,89.0,0.0,0.0,0.0,-89.0
Seattle F&S,10213,12.0,8.0,8.0,8.0,-4.0
Sacramento Main,10217,2.0,2.0,2.0,2.0,0.0
Sacramento Main,10218,5.0,5.0,5.0,5.0,0.0
Toronto F&S,10237,17.0,17.0,17.0,17.0,0.0
Baltimore F&S,10239,825.0,825.0,825.0,776.0,-49.0
Baltimore F&S,10240,430.0,1428.0,1530.0,1530.0,1100.0
Atlanta F&S,10243,34.0,34.0,35.0,35.0,1.0
Baltimore F&S,10243,6.0,3.0,3.0,3.0,-3.0
Edmonton F&S,10243,43.0,42.0,39.0,37.0,-6.0
Fontana,10243,2.0,2.0,2.0,2.0,0.0
Great Lakes CC,10243,11.0,11.0,11.0,11.0,0.0
Houston F&S,10243,29.0,26.0,26.0,21.0,-8.0
Sacramento Main,10243,20.0,20.0,20.0,20.0,0.0
Tampa F&S,10243,185.0,188.0,181.0,179.0,-6.0
Toronto F&S,10243,3.0,3.0,3.0,3.0,0.0
Vancouver F&S,10243,225.0,212.0,211.0,219.0,-6.0
Montreal F&S,10248,82.0,82.0,82.0,80.0,-2.0
Toronto F&S,10248,11.0,11.0,11.0,11.0,0.0
Sacramento Main,10277,4.0,4.0,4.0,4.0,0.0
Seattle F&S,10279,29.0,29.0,29.0,29.0,0.0
Seattle F&S,10280,15.0,15.0,15.0,15.0,0.0
Seattle F&S,10283,42.0,42.0,42.0,42.0,0.0
Sacramento Main,10284,13.0,13.0,13.0,13.0,0.0
Fontana,10298,43.0,39.0,35.0,35.0,-8.0
Sacramento Main,10316,8.0,8.0,8.0,8.0,0.0
Sacramento Main,10319,8.0,8.0,8.0,8.0,0.0
Toronto F&S,10345,2.0,2.0,2.0,2.0,0.0
Edmonton F&S,10380,78.0,78.0,78.0,78.0,0.0
Tampa F&S,10380,64.0,64.0,64.0,64.0,0.0
Toronto F&S,10380,703.0,779.0,792.0,763.0,60.0
Toronto F&S,10386,40.0,40.0,40.0,40.0,0.0
Sacramento Main,10396,6.0,6.0,6.0,6.0,0.0
Great Lakes CC,10402,12.0,12.0,12.0,12.0,0.0
Fontana,10419,16.0,16.0,16.0,13.0,-3.0
Seattle F&S,10419,6.0,0.0,0.0,0.0,-6.0
Toronto F&S,1043,6.0,6.0,6.0,6.0,0.0
Toronto F&S,10452,21.0,21.0,21.0,21.0,0.0
Seattle F&S,10453,21.0,21.0,21.0,21.0,0.0
Toronto F&S,10493,1410.0,1408.0,1408.0,1408.0,-2.0
Fontana,10498,250.0,250.0,250.0,0.0,-250.0
Toronto F&S,10600,76.0,76.0,76.0,76.0,0.0
Toronto F&S,10620,5.0,6.0,5.0,5.0,0.0
Fontana,10621,3.0,3.0,3.0,3.0,0.0
Great Lakes CC,10621,1.0,1.0,1.0,1.0,0.0
Houston F&S,10621,22.0,25.0,25.0,25.0,3.0
Sacramento Main,10621,1.0,1.0,1.0,1.0,0.0
Tampa F&S,10621,319.0,309.0,309.0,304.0,-15.0
Toronto F&S,10621,20.0,20.0,20.0,20.0,0.0
Vancouver F&S,10621,43.0,42.0,38.0,38.0,-5.0
Baltimore F&S,10623,1.0,1.0,1.0,1.0,0.0
Fontana,10623,6625.0,6403.0,6403.0,6331.0,-294.0
Houston F&S,10623,150.0,150.0,150.0,150.0,0.0
Linden,10623,1191.0,1191.0,1191.0,1191.0,0.0
Sacramento Main,10623,6096.0,6282.0,5783.0,5469.0,-627.0
Seattle F&S,10623,576.0,576.0,576.0,576.0,0.0
Vancouver F&S,10623,3100.0,3207.0,3250.0,3250.0,150.0
Baltimore F&S,10624,10.0,10.0,10.0,10.0,0.0
Edmonton F&S,10624,300.0,300.0,300.0,300.0,0.0
Fontana,10624,3594.0,3954.0,6220.0,7723.0,4129.0
Linden,10624,982.0,982.0,982.0,982.0,0.0
Sacramento Main,10624,396.0,596.0,396.0,396.0,0.0
Vancouver F&S,10624,4894.0,5336.0,5394.0,5394.0,500.0
Atlanta F&S,10629,4.0,4.0,4.0,4.0,0.0
Baltimore F&S,10629,1.0,1.0,1.0,1.0,0.0
Sacramento Main,10629,1.0,1.0,1.0,1.0,0.0
Sacramento Main,10632,11.0,11.0,0.0,0.0,-11.0
Fontana,10634,550.0,504.0,504.0,504.0,-46.0
Sacramento Main,10634,922.0,811.0,767.0,760.0,-162.0
Seattle F&S,10634,342.0,342.0,342.0,339.0,-3.0
Toronto F&S,10637,10925.0,10920.0,10961.0,10961.0,36.0
Linden,10638,599.0,599.0,599.0,553.0,-46.0
Linden,10659,1.0,1.0,1.0,1.0,0.0
Linden,10678,192.0,192.0,192.0,153.0,-39.0
Linden,10679,65.0,65.0,65.0,38.0,-27.0
Atlanta F&S,10680,50.0,50.0,50.0,50.0,0.0
Baltimore F&S,10680,1.0,1.0,1.0,1.0,0.0
Fontana,10680,132.0,119.0,119.0,119.0,-13.0
Houston F&S,10680,16.0,16.0,16.0,16.0,0.0
Linden,10680,34.0,34.0,34.0,19.0,-15.0
Sacramento Main,10680,53.0,46.0,40.0,36.0,-17.0
Seattle F&S,10680,32.0,30.0,31.0,34.0,2.0
Tampa F&S,10680,29.0,29.0,11.0,11.0,-18.0
Atlanta F&S,10681,16.0,16.0,16.0,16.0,0.0
Great Lakes CC,10681,2.0,2.0,2.0,2.0,0.0
