InventoryDate,ItemCode,Branch,InventoryQuantity
1/7/2018,3598,Atlanta F&S,233
1/7/2018,3599,Atlanta F&S,546
1/7/2018,36,Atlanta F&S,276
1/7/2018,3600,Atlanta F&S,392
1/7/2018,3601,Atlanta F&S,724
1/7/2018,3602,Atlanta F&S,1336
1/7/2018,3603,Atlanta F&S,156
1/7/2018,3604,Atlanta F&S,153
1/7/2018,3606,Atlanta F&S,20000
1/7/2018,3608,Atlanta F&S,80
1/7/2018,3609,Atlanta F&S,26
1/7/2018,3610,Atlanta F&S,92
1/7/2018,3611,Atlanta F&S,196
1/7/2018,3613,Atlanta F&S,208
1/7/2018,3614,Atlanta F&S,47
1/7/2018,3615,Atlanta F&S,60
1/7/2018,3616,Atlanta F&S,118
1/7/2018,3617,Atlanta F&S,149
1/7/2018,3618,Atlanta F&S,54
1/7/2018,362,Atlanta F&S,1
1/7/2018,3626,Atlanta F&S,2191
1/7/2018,363,Atlanta F&S,31
1/7/2018,3657,Atlanta F&S,4300
1/7/2018,37,Atlanta F&S,10
1/7/2018,3721,Atlanta F&S,10016
1/7/2018,3722,Atlanta F&S,34
1/7/2018,3724,Atlanta F&S,32
1/7/2018,3725,Atlanta F&S,28
1/7/2018,373,Atlanta F&S,62
1/7/2018,3733,Atlanta F&S,650
1/7/2018,3734,Atlanta F&S,650
1/7/2018,3739,Atlanta F&S,106
1/7/2018,374,Atlanta F&S,62
1/7/2018,3740,Atlanta F&S,99
1/7/2018,38,Atlanta F&S,30
1/7/2018,39,Atlanta F&S,12
1/7/2018,3902,Atlanta F&S,14233
1/7/2018,393,Atlanta F&S,5905
1/7/2018,394,Atlanta F&S,656
1/7/2018,395,Atlanta F&S,730
1/7/2018,396,Atlanta F&S,4684
1/7/2018,397,Atlanta F&S,1173
1/7/2018,3972,Atlanta F&S,34
1/7/2018,3973,Atlanta F&S,253
1/7/2018,3975,Atlanta F&S,199
1/7/2018,3981,Atlanta F&S,2001
1/7/2018,3983,Atlanta F&S,942
1/7/2018,3984,Atlanta F&S,175
1/7/2018,3985,Atlanta F&S,1446
1/7/2018,3986,Atlanta F&S,747
1/7/2018,3987,Atlanta F&S,25775
