ItemCode,Branch,InventoryQuantity
338071,Toronto F&S,134
338100,Toronto F&S,16
338101,Toronto F&S,4
338102,Toronto F&S,4
338103,Toronto F&S,4
338109,Toronto F&S,16
338109,USD Region Offices,2
338114,Toronto F&S,6
338116,Toronto F&S,18
338120,Toronto F&S,10
338121,Toronto F&S,10
338122,Toronto F&S,78
338122,USD Region Offices,4
338123,Toronto F&S,74
338123,USD Region Offices,4
338124,Toronto F&S,96
338125,Toronto F&S,96
338136,Toronto F&S,9
338150,Toronto F&S,130
338150,USD Region Offices,10
338229,Toronto F&S,66
338229,USD Region Offices,8
338239,Toronto F&S,150
338261,USD Region Offices,28
338263,Toronto F&S,16
338263,USD Region Offices,12
338267,USD Region Offices,16
338273,Toronto F&S,16
338273,USD Region Offices,84
339000,Toronto F&S,174
339005,Toronto F&S,93
339024,Seattle F&S,6
339024,Toronto F&S,804
339026,Toronto F&S,146
339030,Seattle F&S,6
339030,Toronto F&S,710
339040,Toronto F&S,356
339044,Toronto F&S,14
339080,Toronto F&S,181
03CC,USD Region Offices,11274
03CM,USD Region Offices,1028
03K,USD Region Offices,580
03M,USD Region Offices,18
03P,USD Region Offices,62
03RX1,USD Region Offices,20
03S,Edmonton F&S,128
04A,Great Lakes CC,1
04A,USD Region Offices,440
04EXS,Linden,8
04EXS,Seattle F&S,56
04EXS,USD Region Offices,33109
04F,USD Region Offices,1343
04FXS,USD Region Offices,35635
05A,USD Region Offices,7954
05B,USD Region Offices,1540
05C,Houston F&S,3
05C,Sacramento Main,9
05C,USD Region Offices,2406
05CXE,Houston F&S,3
05CXE,USD Region Offices,698
05E,USD Region Offices,1622
05GS,USD Region Offices,620
05GT,USD Region Offices,82
05K,USD Region Offices,6523
05S,Houston F&S,5
05S,USD Region Offices,174
05T,USD Region Offices,652
05W,Houston F&S,3
05W,USD Region Offices,838
05WZ,USD Region Offices,259
661505,Toronto F&S,646
06A,Baltimore F&S,2
06A,Edmonton F&S,1396
06A,Fontana,393
06A,Great Lakes CC,331
06A,Houston F&S,371
06A,Linden,704
06A,Sacramento Main,353
06A,Seattle F&S,340
06A,Tampa F&S,261
06A,USD Region Offices,893
06A,Vancouver F&S,3812
06B,Baltimore F&S,53
06B,Edmonton F&S,8
06B,Fontana,1186
06B,Great Lakes CC,1104
06B,Houston F&S,2186
06B,Linden,753
06B,Sacramento Main,402
06B,Seattle F&S,891
06B,Tampa F&S,149
06B,USD Region Offices,1100
06B,Vancouver F&S,50
06C,Baltimore F&S,3
06C,Edmonton F&S,1353
06C,Fontana,297
06C,Great Lakes CC,136
06C,Houston F&S,456
06C,Linden,425
06C,Sacramento Main,191
06C,Seattle F&S,103
06C,Tampa F&S,67
06C,USD Region Offices,303
06C,Vancouver F&S,4129
06D,Atlanta F&S,101
06D,Baltimore F&S,48
06D,Edmonton F&S,3349
06D,Fontana,3160
06D,Great Lakes CC,2871
06D,Houston F&S,1172
06D,Linden,4727
06D,Sacramento Main,1140
06D,Seattle F&S,1229
06D,Tampa F&S,630
06D,USD Region Offices,5081
06D,Vancouver F&S,7919
06E,Atlanta F&S,100
06E,Baltimore F&S,121
06E,Fontana,2404
06E,Great Lakes CC,1884
06E,Houston F&S,11563
06E,Linden,3061
06E,Sacramento Main,3738
06E,Seattle F&S,3980
06E,Tampa F&S,757
06E,USD Region Offices,11034
06E,Vancouver F&S,30
06F,Atlanta F&S,257
06F,Baltimore F&S,6
06F,Edmonton F&S,4119
06F,Fontana,2159
06F,Great Lakes CC,1074
06F,Houston F&S,1631
06F,Linden,3708
06F,Sacramento Main,1087
06F,Seattle F&S,1109
06F,Tampa F&S,908
06F,USD Region Offices,3024
06F,Vancouver F&S,5267
06G,Edmonton F&S,485
06G,Fontana,902
06G,Great Lakes CC,708
06G,Houston F&S,510
06G,Linden,443
06G,Sacramento Main,194
06G,Seattle F&S,266
06G,Tampa F&S,90
06G,USD Region Offices,394
06G,Vancouver F&S,132
06H,Edmonton F&S,398
06H,Great Lakes CC,350
06H,Houston F&S,1501
06H,Linden,2
06H,Sacramento Main,207
06H,Seattle F&S,162
06H,Tampa F&S,54
06H,USD Region Offices,1534
06K,Baltimore F&S,34
06K,Edmonton F&S,4066
06K,Fontana,3335
06K,Great Lakes CC,513
06K,Houston F&S,7274
06K,Linden,3630
06K,Sacramento Main,2768
06K,Seattle F&S,1554
06K,Tampa F&S,332
06K,USD Region Offices,31986
06K,Vancouver F&S,317
06L,Atlanta F&S,63
06L,Baltimore F&S,34
06L,Edmonton F&S,1621
06L,Fontana,1218
06L,Great Lakes CC,2138
06L,Houston F&S,2862
06L,Linden,2078
06L,Sacramento Main,3627
06L,Seattle F&S,2051
06L,Tampa F&S,416
06L,USD Region Offices,1562
06L,Vancouver F&S,1814
06M,Atlanta F&S,31
06M,Baltimore F&S,64
06M,Edmonton F&S,542
06M,Fontana,380
06M,Great Lakes CC,689
06M,Houston F&S,2667
06M,Linden,626
06M,Sacramento Main,4162
06M,Seattle F&S,519
06M,Tampa F&S,97
06M,USD Region Offices,17060
06M,Vancouver F&S,105
06N,Baltimore F&S,16
06N,Edmonton F&S,13
06N,Great Lakes CC,651
06N,Houston F&S,834
06N,Linden,185
06N,Sacramento Main,1642
06N,Seattle F&S,70
06N,USD Region Offices,7018
06N,Vancouver F&S,134
06Q,Baltimore F&S,79
06Q,Edmonton F&S,928
06Q,Fontana,1898
06Q,Great Lakes CC,43
06Q,Houston F&S,2230
06Q,Linden,396
06Q,Sacramento Main,1956
06Q,Seattle F&S,710
06Q,Tampa F&S,160
06Q,USD Region Offices,2022
06Q,Vancouver F&S,602
06R,Baltimore F&S,2
06R,Edmonton F&S,629
06R,Fontana,487
06R,Great Lakes CC,325
06R,Houston F&S,3175
06R,Linden,176
06R,Sacramento Main,113
06R,Seattle F&S,994
06R,Tampa F&S,79
06R,USD Region Offices,100
06R,Vancouver F&S,226
06S,Edmonton F&S,169
06S,Fontana,120
06S,Great Lakes CC,1002
06S,Houston F&S,455
06S,Linden,396
06S,Sacramento Main,503
06S,Seattle F&S,240
06S,USD Region Offices,7624
06S,Vancouver F&S,30
06T,Great Lakes CC,11
06T,Houston F&S,200
06T,Linden,54
06T,Sacramento Main,875
06T,Seattle F&S,230
06T,USD Region Offices,48
08AAC,Linden,1
08AAC,Sacramento Main,73
08AAC,USD Region Offices,557
08N,USD Region Offices,267
08P,USD Region Offices,426
08X,USD Region Offices,1262
08Z,USD Region Offices,1410
916578,USD Region Offices,136
919259,Toronto F&S,32
926224,Toronto F&S,8
926577,Toronto F&S,16
926578,Toronto F&S,8
928118,Toronto F&S,16
928120,Toronto F&S,16
928121,Toronto F&S,16
928122,Toronto F&S,36
928123,Toronto F&S,18
928124,Toronto F&S,4
928125,Toronto F&S,4
928126,Toronto F&S,4
928127,Toronto F&S,8
928128,Toronto F&S,8
940483,Toronto F&S,16
940824,Toronto F&S,4
