ItemCode,InventoryQuantity
1908750,404
1908770,628
1908771,418
1908772,395
1908775,12
191,3329
192,1397
1920000,796
1920041,111
1920075,204
1920080,144
1920082,16
1920100,20
1920110,20
1920146,6
1920158,20
1920242,22
1920246,156
1920250,300
1920259,2597
1920455,690
1920456,588
1920457,920
1920458,180
1920459,104
1920460,400
1920461,208
1920462,114
1920463,193
1920473,204
1920474,356
1920475,120
1920480,16
1920490,78
1920500,84
1920804,456
1920818,10682
1920835,188
1920851,1566
1920894,3270
193,888
194,637
1940146,183
1940172,19
1940196,44
195,2907
1950113,31
1950129,170
196,96
1960000,298
1960003,1865
1960005,84
1960007,122
1960009,318
1960010,494
1960012,206
1960015,128
1960018,110
1960020,134
1960025,284
1960027,250
1960030,84
1960037,716
1960050,114
1960055,22
1960060,78
1960100,441
1960110,1025
1960115,640
1960120,273
1960125,422
1960130,755
1960135,8
1960145,172
1960172,75
1960175,44
1960199,16
1960210,416
1960220,1452
1960226,2
1960250,122
1960270,132
1960275,1827
1960305,1956
1960355,96
1960360,90
1960365,210
1960370,3900
1960375,15120
1960410,74
1960420,83
1960446,96
197,30
197332,4
1980120,281
199,81
1990005,164
1990006,252
1990007,246
1990009,172
1990013,392
1990017,141
1990019,72
1990021,226
1990025,76
1990029,942
1990037,166
1990039,76
1990045,158
1990053,16
1990061,382
1990085,8
1990104,2318
1990105,483
1990106,227
1990107,627
1990109,686
1990110,8
1990111,88
1990113,336
1990115,72
1990117,266
1990119,413
1990121,141
1990125,221
1990129,200
1990133,210
1990137,76
1990139,58
1990145,40
1990185,108
1990200,10166
1990209,343
1990211,423
1990213,113
1990215,222
1990217,328
1990219,279
1990221,1517
1990225,485
1990229,472
1990233,372
1990237,255
1990239,204
1990245,158
1990300,765
1990361,20
1990395,2157
1990400,348
1990402,24
1990403,202
1990406,32
1990421,904
1990480,344
1990485,746
1990501,896
1990504,1148
1990506,218
1990515,16
1990521,3594
1990530,24
1990550,540
1990552,226
1990553,344
1990561,8
1990562,294
1990570,1097
1990590,498
1990594,558
1990595,76
1990613,1822
1990615,400
1990619,672
