Inventory Date,ItemCode,Branch,Weekly Demand
1/28/18,06F,Fontana,1272
1/7/18,06F,Great Lakes CC,399
1/14/18,06F,Great Lakes CC,336
1/21/18,06F,Great Lakes CC,336
1/28/18,06F,Great Lakes CC,336
1/7/18,06F,Houston F&S,357
1/14/18,06F,Houston F&S,357
1/21/18,06F,Houston F&S,357
1/28/18,06F,Houston F&S,357
1/7/18,06F,Linden,24
1/14/18,06F,Linden,24
1/21/18,06F,Linden,24
1/28/18,06F,Linden,24
1/7/18,06F,Sacramento Main,257
1/14/18,06F,Sacramento Main,255
1/21/18,06F,Sacramento Main,276
1/28/18,06F,Sacramento Main,222
1/7/18,06F,Seattle F&S,533
1/14/18,06F,Seattle F&S,529
1/21/18,06F,Seattle F&S,534
1/28/18,06F,Seattle F&S,531
1/7/18,06F,Tampa F&S,86
1/14/18,06F,Tampa F&S,82
1/21/18,06F,Tampa F&S,83
1/28/18,06F,Tampa F&S,84
1/7/18,06F,Vancouver F&S,3977
1/14/18,06F,Vancouver F&S,3981
1/21/18,06F,Vancouver F&S,4134
1/28/18,06F,Vancouver F&S,3970
1/7/18,06G,Edmonton F&S,389
1/14/18,06G,Edmonton F&S,389
1/21/18,06G,Edmonton F&S,389
1/28/18,06G,Edmonton F&S,439
1/7/18,06G,Fontana,2
1/28/18,06G,Fontana,16
1/7/18,06G,Great Lakes CC,40
1/14/18,06G,Great Lakes CC,40
1/21/18,06G,Great Lakes CC,40
1/28/18,06G,Great Lakes CC,40
1/7/18,06G,Houston F&S,189
1/14/18,06G,Houston F&S,189
1/21/18,06G,Houston F&S,189
1/28/18,06G,Houston F&S,189
1/7/18,06G,Sacramento Main,34
1/14/18,06G,Sacramento Main,34
1/21/18,06G,Sacramento Main,34
1/28/18,06G,Sacramento Main,34
1/7/18,06G,Seattle F&S,79
1/14/18,06G,Seattle F&S,114
1/21/18,06G,Seattle F&S,125
1/28/18,06G,Seattle F&S,147
1/7/18,06G,Tampa F&S,14
1/14/18,06G,Tampa F&S,14
1/21/18,06G,Tampa F&S,10
1/28/18,06G,Tampa F&S,10
1/7/18,06H,Edmonton F&S,54
1/14/18,06H,Edmonton F&S,54
1/21/18,06H,Edmonton F&S,54
1/28/18,06H,Edmonton F&S,69
1/7/18,06H,Houston F&S,127
1/14/18,06H,Houston F&S,127
1/21/18,06H,Houston F&S,127
1/28/18,06H,Houston F&S,127
1/7/18,06H,Seattle F&S,121
1/14/18,06H,Seattle F&S,121
1/21/18,06H,Seattle F&S,121
1/28/18,06H,Seattle F&S,121
1/7/18,06K,Edmonton F&S,3174
1/14/18,06K,Edmonton F&S,3252
1/21/18,06K,Edmonton F&S,3049
1/28/18,06K,Edmonton F&S,3235
1/7/18,06K,Fontana,1406
1/14/18,06K,Fontana,1362
1/21/18,06K,Fontana,1423
